a_km,e_osc,i_deg,raan_deg,u_deg,r_km,v_kms,period_min,hx,hy,hz,norad,object_id,rcs_m2,d_eq_cm,perigee_cat_km,apogee_cat_km,gp_epoch,age_days,mean_motion,mean_e,mean_i,mean_raan,mean_argp,mean_M
7231.3511371299865,0.001595357717085153,98.71611964337339,261.5368298913088,241.96193955707113,7240.21979245263,7.415262609981733,101.99735402982078,-0.9776877208592015,0.14547397300560336,-0.1515389179686359,29813,1999-025DF,0.0109,11.780624362746346,852.0,870.0,2026-09-01T13:21:16.293312,0.44356142,14.09520034,0.00121246,98.7131,261.1122,196.6676,315.6386
7180.697669275856,0.000436105345330398,99.44038886303248,42.43374449729141,279.64512172141076,7179.104194434094,7.4521560675906295,100.92754117162808,0.6655990750045941,-0.7280624011652514,-0.16402137471231332,30201,1999-025VJ,0.0066,9.166995688475081,794.0,834.0,2026-09-01T09:11:32.144352,0.6169890699999999,14.23418485,0.00281861,99.4348,41.7708,288.3371,71.474
7124.030071395445,0.0004238370251928758,98.83072943672934,2.0469489666459624,149.0578720036725,7121.057887867072,7.4831974721326375,99.7351731804695,0.035295000597999844,-0.9875156468014878,-0.15351583063328167,30237,1999-025WW,0.0077,9.901487006738307,735.0,754.0,2026-09-01T19:02:44.423808,0.20643028,14.44249702,0.0013391,98.8334,1.8276,240.178,276.259
7101.185911346424,0.0044846972815993785,98.62405058236106,339.14671594060695,58.66756828614918,7086.575225689269,7.507528825553063,99.25583659992341,-0.35195134414777823,-0.9239291840559868,-0.14995037246439563,30275,1999-025YL,0.0078,9.965574970333758,703.0,757.0,2026-09-01T17:48:03.699072,0.25829052,14.48638022,0.00380973,98.6215,338.8881,113.2412,39.6057
7176.72936957788,0.003457984968679576,98.84242675715528,324.97478292344806,29.54001037032727,7156.341010796654,7.4737642227032985,100.84388870277927,-0.5671155671345552,-0.8091667590706049,-0.15371756415200352,30276,1999-025YM,0.0111,11.888212206450685,779.0,815.0,2026-09-01T03:41:24.603936,0.84624301,14.28485609,0.0024925,98.8453,324.1222,48.8229,311.5096
7161.222510231888,0.004387045120347071,98.7070080490512,318.47631971487147,120.288200248981,7149.075747826404,7.473291948303104,100.51722312217375,-0.6552895220397483,-0.740053522086392,-0.151381725292204,30284,1999-025YV,0.0078,9.965574970333758,764.0,817.0,2026-09-01T17:19:17.982624,0.27826409,14.30411073,0.00369495,98.7043,318.1931,62.0666,65.7037
7166.808447540453,0.005210180064094622,99.01559366327778,335.3983983890092,243.30214304036687,7129.563996931575,7.496576032590342,100.63485507353273,-0.41116304848001767,-0.8979916664246326,-0.15670326925922837,30303,1999-025ZQ,0.0067,9.236181543108382,744.0,850.0,2026-08-31T18:16:57.787680,1.23822005,14.28445665,0.00733556,99.0122,334.1249,244.9438,114.4115
7206.46854239086,0.008877148455736034,99.02330749208106,325.891081677727,244.25291237639075,7260.575179998346,7.381538131857681,101.47135806728467,-0.5538281645641333,-0.8177265796874851,-0.1568362362725221,30304,1999-025ZR,0.0111,11.888212206450685,784.0,889.0,2026-09-01T16:04:09.957216,0.33044031,14.16669024,0.00722312,99.0198,325.5607,23.2799,337.1619
7230.087789875048,0.0014656504596690851,98.72369083061628,261.06309305985286,106.97255951596532,7238.977064630187,7.41588769495427,101.9706261514604,-0.9764317074858487,0.15354957981325437,-0.1516695327198011,30325,1999-025AAL,0.0052,8.136857890256438,851.0,873.0,2026-09-01T06:27:08.519040,0.7311514,14.09184011,0.0015319,98.7192,260.3525,229.1798,130.8045
7251.150933243239,0.0017421109166699195,98.74326670212287,263.0430126093473,185.25074715132413,7256.04503680683,7.4092166132894235,102.41655132843856,-0.9811023000243193,0.11971665506094999,-0.152007234656802,30352,1999-025ABP,0.0091,10.764051215546115,847.0,887.0,2026-09-01T13:36:38.666016,0.43288581,14.07750026,0.00273708,98.7486,262.6247,298.029,214.7945
