position_sigma_mm,aperture_mm,mean_single_target_success_probability,probability_all_five_succeed
15,250,0.995048,0.9754480531744768
15,300,0.998212,0.991091719517807
15,350,0.9982040000000001,0.9910521018477977
25,250,0.9141640000000001,0.6347976922817001
25,300,0.991,0.9557318503919318
25,350,0.998048,0.9902778622635624
30,250,0.8268000000000001,0.38113391856188555
30,300,0.9701280000000001,0.8587820913451234
30,350,0.995608,0.9782231390788438
40,250,0.642908,0.10649915870876107
40,300,0.8738279999999999,0.5072258102427378
40,350,0.9683759999999999,0.8512618653350429
50,250,0.48725199999999996,0.026194225434338712
50,300,0.741488,0.22184430159291568
50,350,0.895956,0.5762738402789269
